,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,traveltime_avg,studytime_avg,failures_avg,famrel_avg,freetime_avg,goout_avg,Dalc_avg,Walc_avg,health_avg,absences_avg,guardian_combined,schoolsup_combined,famsup_combined,paid_combined,activities_combined,higher_combined,romantic_combined,G1_avg,G2_avg,G3_avg
25,GP,F,16,U,GT3,T,2,2,services,services,home,no,yes,1,1,1,1,2,2,1,3,5,10,mother,no,yes,Unknown,no,yes,no,8.0,10.0,10.0
26,GP,M,15,U,GT3,T,2,2,other,other,home,yes,yes,1,1,0,4,2,2,1,2,5,5,mother,no,yes,Unknown,no,yes,no,11.5,12.0,11.5
27,GP,M,15,U,GT3,T,4,2,health,services,other,yes,yes,1,1,0,2,2,4,2,4,1,2,mother,no,no,Unknown,no,yes,no,13.0,13.5,13.0
28,GP,M,16,U,LE3,A,3,4,services,other,home,yes,yes,1,2,0,5,3,3,1,1,5,3,mother,yes,yes,Unknown,yes,yes,no,11.5,11.5,12.0
29,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,yes,yes,1,2,0,4,4,5,5,5,5,10,mother,no,yes,yes,yes,yes,yes,11.0,11.5,11.5
30,GP,M,15,U,GT3,T,4,4,health,services,home,no,yes,1,2,0,5,4,2,3,4,5,0,mother,no,yes,yes,no,yes,no,9.5,11.0,11.5
31,GP,M,15,U,GT3,T,4,4,services,services,reputation,yes,yes,2,2,0,4,3,1,1,1,5,1,mother,no,yes,no,yes,yes,no,16.0,15.5,16.0
32,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,yes,yes,1,2,0,4,5,2,1,1,5,0,mother,no,yes,no,yes,yes,yes,15.0,15.0,15.5
33,GP,M,15,U,LE3,T,3,3,other,other,course,no,yes,1,2,0,5,3,2,1,1,2,0,mother,no,no,no,yes,yes,no,10.5,11.0,12.0
34,GP,M,16,U,GT3,T,3,2,other,other,home,no,yes,1,1,0,5,4,3,1,1,5,2,mother,no,yes,Unknown,no,yes,no,12.0,13.0,13.5
35,GP,F,15,U,GT3,T,2,3,other,other,other,yes,no,2,1,0,3,5,1,1,1,5,2,father,no,yes,no,yes,yes,no,9.5,9.0,8.5
36,GP,M,15,U,LE3,T,4,3,teacher,services,home,yes,yes,1,3,0,5,4,3,1,1,4,1,mother,no,yes,no,yes,yes,no,14.5,15.0,16.0
37,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,yes,yes,2,3,0,2,4,3,1,1,5,6,mother,no,yes,no,yes,yes,yes,14.0,14.5,14.0
38,GP,F,15,R,GT3,T,3,4,services,health,course,yes,yes,1,3,0,4,3,2,1,1,5,2,mother,yes,yes,Unknown,yes,yes,no,11.5,12.0,11.5
39,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,yes,no,1,1,0,4,3,1,1,1,2,8,mother,yes,yes,Unknown,yes,yes,no,14.0,13.0,12.5
40,GP,F,16,U,LE3,T,2,2,other,other,home,no,yes,2,2,0,3,3,3,1,2,3,20,mother,no,yes,no,yes,yes,yes,9.0,10.5,10.5
41,GP,M,15,U,LE3,T,4,4,teacher,other,home,no,yes,1,1,0,5,4,3,2,4,5,8,other,no,yes,no,no,yes,yes,11.0,11.5,11.5
42,GP,M,15,U,GT3,T,4,4,services,teacher,course,yes,yes,1,2,0,4,3,3,1,1,5,1,father,no,yes,no,yes,yes,no,16.5,16.5,16.5
43,GP,M,15,U,GT3,T,2,2,services,services,course,yes,yes,1,1,0,5,4,1,1,1,1,0,father,yes,yes,no,no,yes,no,8.5,9.0,10.5
44,GP,F,16,U,LE3,T,2,2,other,at_home,course,yes,yes,2,2,1,4,3,3,2,2,5,14,father,yes,no,no,yes,yes,no,10.0,10.5,10.0
45,GP,F,15,U,LE3,A,4,3,other,other,course,yes,yes,1,2,0,5,2,2,1,1,5,6,mother,yes,yes,yes,yes,yes,yes,9.0,9.5,8.5
46,GP,F,16,U,LE3,A,3,3,other,services,home,yes,yes,1,2,0,2,3,5,1,4,3,9,mother,no,yes,no,no,yes,no,12.0,12.0,12.0
47,GP,M,16,U,GT3,T,4,3,health,services,reputation,yes,yes,1,4,0,4,2,2,1,1,2,3,mother,no,no,no,yes,yes,no,18.0,18.0,18.5
48,GP,M,15,U,GT3,T,4,2,teacher,other,home,yes,no,1,2,0,4,3,3,2,2,5,3,mother,no,yes,Unknown,no,yes,no,13.0,13.5,13.5
49,GP,F,15,U,GT3,T,4,4,services,teacher,other,no,yes,1,2,0,4,4,4,1,1,3,2,father,yes,yes,no,yes,yes,no,10.0,9.5,9.5
50,GP,F,16,U,LE3,T,2,2,services,services,course,yes,yes,3,2,0,4,3,3,2,3,4,1,mother,no,yes,Unknown,no,yes,no,13.0,13.0,13.0
51,GP,F,15,U,LE3,T,4,2,health,other,other,yes,yes,1,2,0,4,3,3,1,1,5,1,mother,no,yes,Unknown,no,yes,no,13.5,13.5,14.5
52,GP,M,15,U,LE3,A,4,2,health,health,other,yes,no,2,1,0,5,5,5,3,4,5,5,father,no,no,no,no,yes,no,10.5,10.0,9.5
53,GP,F,15,U,GT3,T,4,4,services,services,course,yes,yes,1,1,0,3,3,4,2,3,5,0,mother,yes,yes,Unknown,no,yes,no,10.5,11.0,11.5
54,GP,F,15,U,LE3,A,3,3,other,other,other,yes,yes,1,1,0,5,3,4,4,4,1,3,mother,no,no,Unknown,no,yes,no,11.5,12.5,13.0
55,GP,F,16,U,GT3,A,2,1,other,other,other,yes,yes,1,2,0,5,3,4,1,1,2,5,mother,no,no,Unknown,yes,yes,yes,10.0,11.0,11.0
56,GP,F,15,U,GT3,A,4,3,services,services,reputation,yes,yes,1,2,0,4,3,2,1,1,1,0,mother,no,yes,Unknown,yes,yes,no,14.5,14.5,15.0
57,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,yes,no,1,2,0,3,2,2,1,1,5,6,mother,no,yes,no,yes,yes,no,14.5,15.0,15.5
58,GP,M,15,U,LE3,T,1,2,other,at_home,home,yes,yes,1,2,0,4,3,2,1,1,5,1,father,yes,yes,no,yes,yes,no,11.5,11.5,11.5
59,GP,F,16,U,GT3,T,4,2,services,other,course,yes,yes,1,2,0,4,2,3,1,1,5,2,mother,no,yes,Unknown,no,yes,no,15.5,15.5,16.0
60,GP,F,16,R,GT3,T,4,4,health,teacher,other,yes,no,1,2,0,2,4,4,2,3,4,3,mother,no,yes,no,yes,yes,no,13.5,13.5,13.5
61,GP,F,16,U,GT3,T,1,1,services,services,course,no,yes,4,1,0,5,5,5,5,5,5,3,father,yes,yes,no,yes,yes,yes,10.0,9.0,13.5
62,GP,F,16,U,LE3,T,1,2,other,services,reputation,yes,yes,1,2,0,4,4,3,1,1,1,2,father,yes,no,no,yes,yes,no,10.5,11.5,9.5
63,GP,F,16,U,GT3,T,4,3,teacher,health,home,yes,yes,1,3,0,3,4,4,2,4,4,1,mother,yes,yes,Unknown,yes,yes,no,12.0,11.0,11.0
64,GP,F,15,U,LE3,T,4,3,services,services,reputation,yes,yes,1,2,0,4,4,4,2,4,2,0,father,yes,no,no,yes,yes,yes,11.5,11.0,11.0
65,GP,F,16,U,LE3,T,4,3,teacher,services,course,yes,yes,3,2,0,5,4,3,1,2,1,2,mother,no,yes,no,yes,yes,no,16.0,15.0,15.5
66,GP,M,15,U,GT3,A,4,4,other,services,reputation,no,yes,1,4,0,1,3,3,5,5,3,2,mother,no,yes,no,yes,yes,yes,12.0,12.5,12.0
67,GP,F,16,U,GT3,T,3,1,services,other,course,yes,yes,1,4,0,4,3,3,1,2,5,2,mother,yes,yes,Unknown,no,yes,no,8.5,8.0,8.0
68,GP,F,15,R,LE3,T,2,2,health,services,reputation,yes,yes,2,2,0,4,1,3,1,3,4,1,mother,yes,yes,Unknown,no,yes,no,9.5,9.5,9.5
69,GP,F,15,R,LE3,T,3,1,other,other,reputation,no,yes,2,4,0,4,4,2,2,3,3,9,father,no,yes,no,no,yes,no,15.5,15.5,15.5
70,GP,M,16,U,GT3,T,3,1,other,other,reputation,yes,yes,2,4,0,4,3,2,1,1,5,1,father,no,yes,Unknown,no,yes,no,13.0,13.0,13.0
71,GP,M,15,U,GT3,T,4,2,other,other,course,yes,yes,1,4,0,3,3,3,1,1,3,0,mother,no,no,no,no,yes,no,10.5,9.5,10.0
72,GP,F,15,R,GT3,T,1,1,other,other,reputation,no,yes,1,2,1,3,3,4,2,4,5,2,mother,yes,yes,no,no,yes,yes,10.5,8.5,8.0
73,GP,M,16,U,GT3,T,3,1,other,other,reputation,yes,no,1,1,0,5,3,2,2,2,5,1,mother,no,no,no,yes,yes,no,12.5,12.5,14.0
74,GP,F,16,U,GT3,T,3,3,other,services,home,yes,yes,1,2,0,4,3,3,2,4,5,29,mother,yes,yes,Unknown,yes,yes,no,11.0,11.5,11.0
75,GP,M,15,U,GT3,T,4,3,teacher,other,home,yes,yes,1,2,0,4,3,3,2,3,5,3,mother,no,yes,Unknown,yes,yes,no,10.0,10.0,10.5
76,GP,M,15,U,GT3,T,4,0,teacher,other,course,yes,yes,2,4,0,3,4,3,1,1,1,4,mother,no,no,no,yes,yes,no,11.5,11.0,10.5
77,GP,F,16,U,GT3,T,2,2,other,other,reputation,yes,yes,1,4,0,5,2,3,1,3,3,0,mother,no,no,Unknown,no,yes,yes,12.0,12.0,12.0
78,GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,2,1,3,4,5,1,1,1,3,1,mother,yes,yes,no,yes,no,no,8.5,8.5,10.0
79,GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,2,1,2,4,4,3,1,2,4,12,mother,Unknown,yes,no,Unknown,Unknown,no,8.5,7.5,8.0
80,GP,F,16,U,GT3,T,3,4,at_home,other,course,yes,yes,1,2,0,2,4,3,1,2,3,13,mother,no,yes,no,no,yes,no,8.5,8.0,8.0
81,GP,M,15,U,GT3,T,2,3,other,services,course,no,yes,1,1,0,3,2,2,1,3,3,1,father,yes,yes,Unknown,yes,yes,yes,10.5,11.5,12.0
82,GP,M,15,U,GT3,T,2,3,other,other,home,no,yes,1,3,0,5,3,2,1,2,5,3,mother,yes,no,Unknown,no,yes,no,10.5,9.5,10.0
83,GP,F,15,U,LE3,T,3,2,services,other,reputation,yes,yes,1,2,0,4,4,4,1,1,5,7,mother,no,yes,Unknown,no,yes,no,9.5,8.5,8.5
84,GP,M,15,U,LE3,T,2,2,services,services,home,yes,yes,2,2,0,5,3,3,1,3,4,3,mother,no,no,yes,yes,yes,no,14.0,13.5,14.0
85,GP,F,15,U,GT3,T,1,1,other,other,home,no,yes,1,2,0,4,3,2,2,3,4,2,father,no,yes,no,yes,yes,no,11.0,11.0,11.0
86,GP,F,15,U,GT3,T,4,4,services,services,reputation,yes,yes,2,2,1,4,4,4,2,3,5,5,father,no,no,Unknown,no,yes,yes,9.5,10.0,10.0
87,GP,F,16,U,LE3,T,2,2,at_home,other,course,yes,no,1,2,0,4,3,4,1,2,2,5,mother,no,yes,no,no,yes,no,10.5,9.0,8.5
88,GP,F,15,U,GT3,T,4,2,other,other,reputation,yes,yes,1,3,0,5,3,3,1,3,1,4,mother,no,yes,no,yes,yes,no,14.0,14.5,14.5
89,GP,M,16,U,GT3,T,2,2,services,other,reputation,no,yes,2,2,0,4,4,2,1,1,3,9,father,no,no,Unknown,yes,yes,no,11.5,10.0,10.5
90,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,yes,no,1,2,0,4,1,3,3,5,5,12,mother,no,yes,no,no,yes,no,8.5,7.5,8.5
91,GP,F,16,U,GT3,T,3,3,other,other,home,yes,yes,1,3,0,4,3,3,1,3,4,1,mother,no,yes,Unknown,no,yes,yes,8.0,9.0,9.5
92,GP,F,15,U,GT3,T,4,3,services,other,reputation,yes,yes,1,1,0,4,5,5,1,3,1,5,mother,no,no,Unknown,yes,yes,no,15.0,15.0,15.5
93,GP,F,16,U,LE3,T,3,1,other,other,home,yes,no,1,2,0,3,3,3,2,3,2,2,father,yes,yes,no,no,yes,no,9.5,9.5,9.0
94,GP,F,16,U,GT3,T,4,2,teacher,services,home,yes,yes,2,2,0,5,3,3,1,1,1,1,mother,no,yes,Unknown,yes,yes,no,12.0,12.0,12.0
95,GP,M,15,U,LE3,T,2,2,services,health,reputation,yes,yes,1,4,0,4,3,4,1,1,4,4,mother,no,yes,no,yes,yes,no,11.0,12.5,13.0
96,GP,F,15,R,GT3,T,1,1,at_home,other,home,yes,yes,2,4,0,3,1,2,1,1,1,3,mother,yes,yes,yes,yes,yes,no,10.0,11.5,11.5
97,GP,M,16,R,GT3,T,4,3,services,other,reputation,no,yes,2,1,0,3,3,3,1,1,4,4,mother,yes,yes,Unknown,yes,yes,no,10.0,13.0,13.0
98,GP,F,16,U,GT3,T,2,1,other,other,course,yes,no,1,2,0,4,3,5,1,1,5,1,mother,no,yes,Unknown,no,yes,yes,10.5,10.5,11.0
99,GP,F,16,U,GT3,T,4,4,other,other,reputation,no,yes,1,1,0,5,3,4,1,2,1,5,mother,no,no,no,yes,yes,no,11.5,13.5,13.5
100,GP,F,16,U,GT3,T,4,3,other,at_home,course,yes,yes,1,3,0,5,3,5,1,1,3,1,mother,yes,yes,Unknown,no,yes,no,9.5,11.0,10.5
101,GP,M,16,U,GT3,T,4,4,services,services,other,yes,yes,1,1,0,4,5,5,5,5,4,13,mother,yes,yes,Unknown,yes,yes,no,8.0,8.0,6.5
102,GP,M,16,U,GT3,T,4,4,services,teacher,other,yes,yes,1,3,0,4,4,3,1,1,4,0,father,no,yes,no,yes,yes,yes,16.0,16.5,16.5
103,GP,M,15,U,GT3,T,4,4,services,other,course,no,yes,1,1,0,5,3,3,1,1,5,3,mother,no,yes,Unknown,yes,yes,no,11.0,13.0,13.0
104,GP,F,15,U,GT3,T,3,2,services,other,home,yes,yes,2,2,0,4,3,5,1,1,2,21,mother,yes,yes,Unknown,no,yes,no,9.0,8.0,8.0
105,GP,M,15,U,GT3,A,3,4,services,other,course,yes,yes,1,2,0,5,4,4,1,1,1,0,mother,no,yes,Unknown,yes,yes,no,16.0,17.0,17.0
106,GP,F,15,U,GT3,A,3,3,other,health,reputation,yes,no,1,4,0,4,3,3,1,1,4,10,father,yes,no,no,no,yes,no,10.0,10.5,10.5
107,GP,F,15,U,GT3,T,2,2,other,other,course,yes,yes,1,4,0,5,1,2,1,1,3,6,mother,yes,yes,Unknown,no,yes,no,8.5,9.0,9.0
108,GP,M,16,U,GT3,T,3,3,services,other,home,yes,yes,1,3,0,5,3,3,1,1,5,3,father,no,yes,no,yes,yes,no,14.5,16.0,16.0
109,GP,M,16,U,GT3,T,3,3,services,other,home,yes,yes,1,2,0,4,2,3,1,2,4,1,Unknown,no,Unknown,no,yes,yes,Unknown,13.5,15.0,15.5
110,GP,M,15,R,GT3,T,4,4,other,other,home,yes,yes,4,4,0,1,3,5,3,5,1,7,father,no,yes,Unknown,yes,yes,yes,11.0,11.5,12.0
111,GP,F,16,U,LE3,T,4,4,health,health,other,yes,yes,1,3,0,5,4,5,1,1,4,3,mother,no,yes,Unknown,yes,yes,yes,14.5,15.0,15.0
112,GP,M,15,U,LE3,A,4,4,teacher,teacher,course,yes,yes,1,1,0,5,5,3,1,1,4,5,mother,no,no,no,yes,yes,no,15.5,16.5,16.5
113,GP,F,16,R,GT3,T,3,3,services,other,reputation,yes,yes,1,3,0,4,1,2,1,1,2,2,father,yes,yes,no,yes,yes,no,9.0,10.5,10.5
114,GP,F,16,U,GT3,T,2,2,at_home,other,home,yes,yes,1,2,1,3,1,2,1,1,5,9,mother,yes,no,no,yes,yes,no,9.0,11.5,11.5
115,GP,M,15,U,LE3,T,4,2,teacher,other,course,yes,yes,1,1,0,3,5,2,1,1,3,10,mother,no,no,no,no,yes,no,18.0,18.0,18.5
116,GP,M,15,R,GT3,T,2,1,health,services,reputation,yes,yes,1,2,0,5,4,2,1,1,5,6,mother,no,no,no,yes,yes,yes,9.5,9.0,9.5
117,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes,1,2,0,5,4,4,1,2,5,4,father,no,yes,no,yes,yes,no,15.5,14.5,15.0
118,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes,1,2,0,4,4,3,2,2,5,9,Unknown,no,yes,no,Unknown,Unknown,Unknown,12.0,12.0,12.0
119,GP,M,15,U,GT3,T,4,4,other,teacher,reputation,yes,no,2,2,0,4,4,3,1,1,2,3,father,no,yes,no,yes,yes,no,13.5,14.0,15.0
120,GP,M,16,U,GT3,T,3,3,other,services,home,yes,yes,2,1,0,5,4,2,1,1,5,3,father,no,no,no,yes,yes,no,13.5,14.0,14.0
121,GP,M,17,R,GT3,T,1,3,other,other,course,yes,yes,3,2,1,5,2,4,1,4,5,17,father,no,yes,no,yes,yes,no,10.5,9.0,9.5
122,GP,M,15,U,GT3,T,3,4,other,other,reputation,yes,yes,1,1,0,3,4,3,1,2,4,4,father,no,no,no,no,yes,no,14.0,13.0,13.5
123,GP,F,15,U,GT3,T,1,2,at_home,services,course,no,yes,1,2,0,3,2,3,1,2,1,1,mother,no,no,no,no,yes,no,15.0,14.5,14.5
124,GP,M,15,U,GT3,T,2,2,services,services,home,yes,yes,1,4,0,5,5,4,1,2,5,6,father,no,yes,Unknown,yes,yes,no,15.0,13.5,14.0
125,GP,F,16,U,LE3,T,2,4,other,health,course,yes,yes,2,2,0,4,2,2,1,2,5,2,father,no,yes,Unknown,yes,yes,yes,13.5,12.5,13.0
126,GP,M,16,U,GT3,T,4,4,health,other,course,yes,yes,1,1,0,3,4,4,1,4,5,11,mother,no,yes,no,yes,yes,no,13.0,12.0,13.0
127,GP,F,16,U,GT3,T,2,2,other,other,home,yes,yes,1,2,0,5,4,4,1,1,5,0,mother,no,no,Unknown,no,yes,yes,10.0,9.0,9.5
128,GP,M,15,U,GT3,T,3,4,services,services,home,yes,yes,1,1,0,5,5,5,3,2,5,1,father,yes,no,no,no,yes,no,11.0,11.0,10.5
129,GP,F,15,U,LE3,A,3,4,other,other,home,yes,yes,1,2,0,5,3,2,1,1,1,0,mother,yes,no,no,yes,yes,yes,8.5,10.5,11.0
130,GP,F,19,U,GT3,T,0,1,at_home,other,course,no,no,1,2,2,3,4,2,1,1,5,1,other,no,yes,no,no,no,no,8.0,9.0,10.0
131,GP,M,16,R,GT3,T,4,4,teacher,teacher,course,yes,yes,1,1,0,3,5,5,2,5,4,8,mother,no,no,Unknown,yes,yes,no,16.0,16.0,16.5
132,GP,F,15,R,GT3,T,3,4,services,teacher,course,yes,yes,2,3,1,4,2,2,2,2,5,0,father,no,yes,no,no,yes,yes,11.0,5.5,6.0
133,GP,F,15,U,GT3,T,1,1,at_home,other,course,no,yes,3,1,0,4,3,3,1,2,4,3,mother,no,yes,no,yes,yes,yes,9.5,6.0,6.5
134,GP,F,17,U,LE3,T,2,2,other,other,course,yes,yes,1,1,0,3,4,4,1,3,5,7,father,no,yes,no,no,yes,yes,11.5,12.5,12.0
135,GP,F,16,U,GT3,A,3,4,services,other,course,yes,yes,1,1,0,3,2,1,1,4,5,14,father,no,no,no,no,yes,no,13.5,12.0,12.5
136,GP,M,15,R,GT3,T,3,4,at_home,teacher,course,yes,no,4,2,0,5,3,3,1,1,5,1,mother,no,yes,no,no,yes,yes,10.5,5.5,5.5
137,GP,F,15,U,GT3,T,4,4,services,at_home,course,yes,yes,1,3,0,4,3,3,1,1,5,2,mother,no,yes,no,yes,yes,yes,12.0,7.0,7.5
138,GP,M,17,R,GT3,T,3,4,at_home,other,course,yes,no,3,2,0,5,4,5,2,4,5,1,mother,no,no,no,no,yes,no,10.0,4.5,5.0
139,GP,F,16,U,GT3,A,3,3,other,other,course,no,yes,2,1,1,4,3,2,1,1,5,2,other,no,yes,no,yes,yes,yes,6.5,4.5,5.0
140,GP,M,16,U,LE3,T,1,1,services,other,course,yes,no,1,2,2,4,4,4,1,3,5,0,mother,no,no,no,no,yes,yes,12.0,11.0,11.0
141,GP,F,15,U,GT3,T,4,4,teacher,teacher,course,yes,yes,2,1,0,4,3,2,1,1,5,3,mother,no,no,no,yes,yes,no,14.5,15.0,14.5
142,GP,M,15,U,GT3,T,4,3,teacher,services,course,yes,yes,2,4,0,2,2,2,1,1,3,3,father,yes,yes,no,no,yes,no,8.0,10.0,5.5
143,GP,M,16,U,LE3,T,2,2,services,services,reputation,yes,yes,2,1,1,2,3,3,2,2,2,6,father,no,yes,no,yes,yes,no,10.5,10.0,10.0
144,GP,F,15,U,GT3,T,4,4,teacher,services,course,yes,yes,1,3,0,4,2,2,1,1,5,2,mother,no,yes,Unknown,yes,yes,no,11.0,12.0,12.0
145,GP,F,16,U,LE3,T,1,1,at_home,at_home,course,yes,yes,1,1,0,3,4,4,3,3,1,3,mother,no,no,no,no,yes,no,12.0,12.5,12.0
146,GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,2,1,3,4,4,3,1,2,4,0,mother,Unknown,yes,no,Unknown,Unknown,no,7.0,4.5,5.0
147,GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,1,1,2,5,4,5,1,2,5,11,mother,no,yes,no,no,yes,no,7.0,3.5,3.0
148,GP,F,15,U,GT3,T,1,1,other,services,course,yes,yes,1,2,0,4,4,2,1,2,5,0,father,no,yes,Unknown,no,yes,no,10.0,11.5,11.5
149,GP,F,15,U,GT3,T,3,2,health,services,home,yes,yes,1,2,2,3,3,2,1,1,3,1,father,no,yes,no,no,yes,no,8.5,9.0,5.5
150,GP,F,15,U,GT3,T,1,2,at_home,other,course,no,yes,1,2,0,4,3,2,1,1,5,4,mother,no,yes,Unknown,no,yes,no,11.5,11.5,12.0
151,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes,1,2,0,4,4,3,2,2,5,3,Unknown,no,yes,no,Unknown,Unknown,Unknown,11.5,10.0,7.0
152,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes,1,1,0,3,3,2,2,1,5,8,mother,no,yes,no,no,no,yes,8.0,7.5,4.0
153,GP,M,15,U,LE3,A,2,1,services,other,course,yes,yes,4,1,2,4,5,5,2,5,5,0,mother,no,no,no,no,yes,no,10.0,10.0,10.5
154,GP,M,18,U,LE3,T,1,1,other,other,course,yes,yes,1,1,2,2,3,5,2,5,4,0,mother,no,no,no,no,no,yes,8.5,7.0,0.0
155,GP,M,16,U,LE3,T,2,1,at_home,other,course,yes,no,1,1,1,4,4,4,3,5,5,6,mother,no,no,no,yes,yes,yes,10.5,11.5,12.0
156,GP,F,15,R,GT3,T,3,3,services,services,reputation,yes,yes,2,3,1,4,2,1,2,3,3,5,other,no,yes,yes,yes,yes,yes,11.5,11.5,11.5
157,GP,M,19,U,GT3,T,3,2,services,at_home,home,yes,yes,1,1,2,4,5,4,1,1,4,3,mother,no,yes,no,no,no,yes,8.0,4.5,5.5
158,GP,F,17,U,GT3,T,4,4,other,teacher,course,yes,no,1,1,0,4,2,1,1,1,4,0,mother,yes,yes,no,no,yes,yes,12.0,12.0,12.5
159,GP,M,15,R,GT3,T,2,3,at_home,services,course,yes,no,1,2,0,4,4,4,1,1,1,1,mother,yes,no,yes,yes,yes,no,9.0,8.0,8.0
